objectid,filename,title,creator,date,description,subject,location,latitude,longitude,identifier,type,format,culture,materials,measurements,credit,published,web_page,altnum
559,jsma2014_38_29.jpg,Charger,"Wallis, Hugh",ca. 1910-15,Charger with inlayed pewter blossom motif at center and geometric pewter inlay along rim.,"Wallis, Hugh;British;Copper, pewter;Altrincham, England","Altrincham, England",53.38963,-2.346828,JSMA2014:38.29,Image;StillImage,image/jpeg,British,"Copper, pewter",Diam. 14-1/2 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27184;type=101,N0908
555,jsma2014_38_67.jpg,Tray,"Wallis, Hugh",1911,"Large copper tray, decorative pewter inlay at center with floral and foliate motif.","Wallis, Hugh;British;Copper with pewter inlay;Altrincham, England","Altrincham, England",53.38963,-2.346828,JSMA2014:38.67,Image;StillImage,image/jpeg,British,Copper with pewter inlay,Diam. 22-3/4 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27222;type=101,N0407
561,jsma2014_38_78.jpg,Tray,"Wallis, Hugh",ca. 1910,Oval tray with hammered copper body and central pewter inlay in floral medallion motif. Pewter inlay also decorates rim in diagonal pattern.,"Wallis, Hugh;British;Copper and pewter;Altrincham, England","Altrincham, England",53.38963,-2.346828,JSMA2014:38.78,Image;StillImage,image/jpeg,British,Copper and pewter,H. 5/8 x W. 17-1/8 x D. 11 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=50623;type=101,N0907
318,jsma2016_12_61.jpg,Small bowl,"Wallis, Hugh",ca. 1910,"Born in Kettering in 1871, Hugh Wallis was known for his inlaid copperware. An active member of the Northern Art Worker's Guild, Wallis opened a workshop in Altrincham, Cheshire and produced Artsand Crafts vessels.","Wallis, Hugh;British;Copper and bronze;Altrincham, England","Altrincham, England",53.38963,-2.346828,JSMA2016:12.61,Image;StillImage,image/jpeg,British,Copper and bronze,"H. 2 x W. 4-3/4 x D. 4-3/4 in,","Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=119724;type=101,N0906
33,jsma2016_12_144.jpg,Brooch,"Begay, Larry Moses",mid-20th century,,"Begay, Larry Moses;Navajo;sterling silver, turquoise;Arizona",Arizona,34.428998,-111.774563,JSMA2016:12.144,Image;StillImage,image/jpeg,Navajo,"sterling silver, turquoise","Diam: 3 in,","Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=122426;type=101,No MGW number
364,jsma2017_2_22.jpg,Footed bowl,"Dodge Jr., William Waldo",1928,,"Dodge Jr., William Waldo;American;Sterling silver;Ashville, North Carolina","Ashville, North Carolina",35.587032,-82.555277,JSMA2017:2.22,Image;StillImage,image/jpeg,American,Sterling silver,H. 11-3/4 x W. 11-3/4 x D. 4-3/4 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=126340;type=101,NO MGW NUMBER
572,jsma2014_38_17.jpg,Charger,"Prosser, Elsie",ca. 1900,Circular charger with conforming well and hammered finish. Four turquoise enamel cabochons bezel set in rim.,"Prosser, Elsie;New Zealand;Copper with enamel cabochons;Auckland, New Zealand","Auckland, New Zealand",-36.707542,174.742786,JSMA2014:38.17,Image;StillImage,image/jpeg,New Zealand,Copper with enamel cabochons,Diam. 14-3/4 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=27172;type=101,N0904
74,jsma2016_12_58.jpg,Brooch (fish),Unknown,mid-late 20th century,,Unknown;Australian;Sterling silver;Australia,Australia,,,JSMA2016:12.58,Image;StillImage,image/jpeg,Australian,Sterling silver,Diam. 2-1/8 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=119718;type=101,N0865
138,jsma2016_12_18.jpg,Belt buckle,Turriet & Bardach,1910,Metal belt buckle with mother-of-pearl detail attached to leather belt.,Turriet & Bardach;Austrian;Metal with mother-of-pearl cabochons;Austria,Austria,47.525419,14.272046,JSMA2016:12.18,Image;StillImage,image/jpeg,Austrian,Metal with mother-of-pearl cabochons,5-1/4 x 3 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",Y,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=119671;type=101,N0201
399,jsma2019_11_116.jpg,Square Bowl,Unknown,ca. 1930,Square bowl with hammered finish and molded rim applied with fluted medallians at each corner. Corners also adorned with wood column to form a stepped circular foot.,"Unknown;Austrian;Silver, wood;Austria",Austria,47.525419,14.272046,JSMA2019:11.116,Image;StillImage,image/jpeg,Austrian,"Silver, wood",W. 3-3/4 x D. 9-7/8 inches,"Margo Grant Walsh Twentieth Century Silver and Metalwork Collection, gift of Margo Grant Walsh",N,https://jsmacollection.uoregon.edu/mwebcgi/mweb?request=record;id=136177;type=101,T0022/S0155
